epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.994,1.6879,1.63299,1.58071,0.53141,0.46264,0.46037,0.2188,1.83266,1.71762,1.61942,0.000416318,0.000416318,0.000416318
2,782.439,1.7609,1.74688,1.63877,0.51597,0.4357,0.43353,0.20336,1.87011,1.7639,1.64765,0.000750519,0.000750519,0.000750519
3,1157.6,1.79462,1.80119,1.66815,0.49801,0.43113,0.41467,0.1915,1.88455,1.82061,1.65393,0.00100222,0.00100222,0.00100222
4,1501.45,1.78705,1.79284,1.66821,0.53194,0.43658,0.44468,0.21063,1.88355,1.76243,1.65985,0.00087875,0.00087875,0.00087875
5,1862,1.76351,1.75061,1.65082,0.53477,0.44759,0.45216,0.21878,1.83882,1.72797,1.6307,0.000755,0.000755,0.000755
6,2219.47,1.74313,1.70563,1.63212,0.54971,0.46284,0.47336,0.22903,1.81716,1.68983,1.60928,0.00063125,0.00063125,0.00063125
7,2577.99,1.71783,1.66393,1.61309,0.58015,0.45669,0.47961,0.23493,1.82095,1.67322,1.60399,0.0005075,0.0005075,0.0005075
8,2931.75,1.69053,1.62717,1.59042,0.57378,0.47407,0.49239,0.24335,1.80429,1.63806,1.5922,0.00038375,0.00038375,0.00038375
9,3283.8,1.67097,1.58092,1.57189,0.58424,0.47886,0.50581,0.25179,1.78859,1.60617,1.58923,0.00026,0.00026,0.00026
10,3593.35,1.64776,1.55078,1.55932,0.59166,0.48197,0.51178,0.25818,1.78318,1.58592,1.56873,0.00013625,0.00013625,0.00013625
