epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.65,1.37611,1.4918,2.46612,0.59679,0.52992,0.55114,0.30711,1.47495,1.96334,2.56031,0.0670179,0.000333152,0.000333152
2,1004.01,1.39749,1.53852,2.50485,0.63273,0.54351,0.58868,0.33882,1.47881,1.61949,2.43503,0.0340164,0.000665006,0.000665006
3,1464.93,1.42377,1.59314,2.52879,0.63277,0.54604,0.57994,0.33222,1.45623,1.60175,2.50164,0.00101347,0.00099538,0.00099538
4,1955.55,1.43204,1.62284,2.53799,0.62761,0.54895,0.58813,0.33629,1.46156,1.58708,2.51056,0.00099334,0.00099334,0.00099334
5,2446.22,1.43282,1.62613,2.55049,0.62083,0.55547,0.59047,0.34267,1.40287,1.59199,2.49936,0.00099112,0.00099112,0.00099112
6,2933.53,1.42311,1.61955,2.54181,0.62045,0.55876,0.59101,0.34163,1.40678,1.55769,2.48549,0.0009889,0.0009889,0.0009889
7,3423.07,1.43106,1.63102,2.54636,0.62944,0.55547,0.59469,0.34441,1.40278,1.56083,2.46651,0.00098668,0.00098668,0.00098668
8,3911.19,1.43042,1.62146,2.54483,0.63975,0.56857,0.6065,0.35863,1.37993,1.52328,2.45857,0.00098446,0.00098446,0.00098446
9,4406.8,1.42679,1.61651,2.54478,0.65054,0.56542,0.61467,0.36102,1.40455,1.5015,2.49002,0.00098224,0.00098224,0.00098224
10,4897.3,1.42459,1.61066,2.54478,0.64748,0.57742,0.61505,0.36285,1.38891,1.51649,2.48898,0.00098002,0.00098002,0.00098002
11,5384.24,1.42255,1.60921,2.54234,0.65293,0.5863,0.63143,0.37608,1.36974,1.4525,2.44946,0.0009778,0.0009778,0.0009778
12,5895.04,1.42163,1.61473,2.54541,0.65712,0.58552,0.63176,0.38006,1.34722,1.47973,2.43915,0.00097558,0.00097558,0.00097558
13,6357.54,1.4174,1.60864,2.53648,0.65717,0.58214,0.63139,0.38062,1.34979,1.43982,2.4349,0.00097336,0.00097336,0.00097336
14,6791.21,1.41856,1.60449,2.5421,0.66113,0.59827,0.64116,0.38693,1.35254,1.43947,2.43898,0.00097114,0.00097114,0.00097114
15,7271.45,1.4225,1.60623,2.5425,0.65907,0.60217,0.64278,0.39206,1.3473,1.41004,2.43192,0.00096892,0.00096892,0.00096892
16,7702.38,1.41572,1.60333,2.53522,0.67045,0.6026,0.64969,0.39521,1.33749,1.40229,2.41902,0.0009667,0.0009667,0.0009667
17,8131.35,1.41162,1.60403,2.53568,0.66223,0.60739,0.64981,0.39676,1.33195,1.41457,2.41189,0.00096448,0.00096448,0.00096448
18,8625.04,1.41315,1.59503,2.5396,0.6743,0.6076,0.65713,0.40387,1.32268,1.38573,2.42129,0.00096226,0.00096226,0.00096226
19,9131.52,1.4139,1.59205,2.53599,0.6795,0.59876,0.65643,0.40441,1.32136,1.38545,2.41218,0.00096004,0.00096004,0.00096004
20,9647.45,1.41185,1.59406,2.53688,0.68009,0.60394,0.65825,0.40685,1.31756,1.3748,2.41444,0.00095782,0.00095782,0.00095782
21,10165,1.41092,1.58363,2.5324,0.67594,0.61038,0.66273,0.41268,1.30794,1.36309,2.40715,0.0009556,0.0009556,0.0009556
22,10670.7,1.4112,1.58768,2.53669,0.68543,0.60647,0.66175,0.41324,1.3079,1.3665,2.40104,0.00095338,0.00095338,0.00095338
23,11163.7,1.41189,1.58056,2.53729,0.69928,0.59731,0.66679,0.41503,1.30423,1.35624,2.39595,0.00095116,0.00095116,0.00095116
24,11618.5,1.41606,1.5888,2.54044,0.69841,0.60147,0.66846,0.41595,1.30052,1.35369,2.39571,0.00094894,0.00094894,0.00094894
25,12079.6,1.405,1.57235,2.53128,0.70218,0.60597,0.6735,0.42052,1.29441,1.34477,2.39694,0.00094672,0.00094672,0.00094672
26,12508.9,1.40182,1.56899,2.53069,0.69175,0.61349,0.67297,0.42065,1.291,1.33451,2.39565,0.0009445,0.0009445,0.0009445
27,12938.5,1.40495,1.57788,2.52598,0.6942,0.61295,0.67224,0.42107,1.29175,1.3289,2.39428,0.00094228,0.00094228,0.00094228
28,13404.7,1.40216,1.5846,2.53682,0.68215,0.61674,0.6715,0.4207,1.29046,1.33064,2.39373,0.00094006,0.00094006,0.00094006
29,13901.1,1.40156,1.58062,2.52759,0.69202,0.61411,0.67219,0.42138,1.28892,1.3306,2.39117,0.00093784,0.00093784,0.00093784
30,14410.8,1.40357,1.57424,2.53208,0.68651,0.61721,0.67276,0.42236,1.2867,1.32951,2.39062,0.00093562,0.00093562,0.00093562
31,14904.1,1.40188,1.57083,2.5199,0.68986,0.61645,0.67278,0.42328,1.28722,1.33033,2.39047,0.0009334,0.0009334,0.0009334
32,15404.7,1.39899,1.56618,2.52001,0.69144,0.61381,0.67337,0.42404,1.28641,1.32908,2.38925,0.00093118,0.00093118,0.00093118
33,15889.9,1.39976,1.57323,2.52586,0.69193,0.61344,0.67446,0.42445,1.28433,1.32841,2.38625,0.00092896,0.00092896,0.00092896
34,16333.4,1.39757,1.56229,2.52137,0.69982,0.6099,0.67557,0.42578,1.28226,1.32785,2.38402,0.00092674,0.00092674,0.00092674
35,16762.4,1.39689,1.57341,2.53152,0.70005,0.61134,0.67547,0.42618,1.28096,1.32624,2.38303,0.00092452,0.00092452,0.00092452
36,17194,1.39795,1.57523,2.53122,0.70561,0.61083,0.6764,0.42719,1.27949,1.32574,2.38249,0.0009223,0.0009223,0.0009223
37,17622.2,1.39522,1.56551,2.52928,0.70957,0.61013,0.67738,0.42782,1.2785,1.32504,2.38167,0.00092008,0.00092008,0.00092008
38,18051.8,1.40079,1.56627,2.53346,0.71105,0.61026,0.67834,0.42838,1.27824,1.32454,2.38105,0.00091786,0.00091786,0.00091786
39,18535.2,1.39524,1.55755,2.52947,0.709,0.61008,0.67857,0.42871,1.2787,1.32348,2.38134,0.00091564,0.00091564,0.00091564
40,18980.2,1.39422,1.56727,2.52061,0.70456,0.61503,0.67934,0.42908,1.27801,1.32297,2.38121,0.00091342,0.00091342,0.00091342
41,19422.7,1.39744,1.56141,2.5306,0.70279,0.61698,0.67983,0.42904,1.27822,1.32288,2.38087,0.0009112,0.0009112,0.0009112
42,19863.5,1.39614,1.55703,2.53181,0.70137,0.61635,0.67986,0.42924,1.27838,1.32291,2.38107,0.00090898,0.00090898,0.00090898
43,20293.5,1.39782,1.56175,2.51903,0.70246,0.61387,0.68007,0.42964,1.27813,1.32258,2.38123,0.00090676,0.00090676,0.00090676
44,20722.5,1.39003,1.56514,2.52941,0.70414,0.61251,0.68036,0.4295,1.27774,1.32168,2.3814,0.00090454,0.00090454,0.00090454
45,21151.9,1.39176,1.55194,2.53198,0.70089,0.61711,0.6808,0.42979,1.27722,1.32144,2.38106,0.00090232,0.00090232,0.00090232
46,21580.1,1.39668,1.55755,2.52544,0.70122,0.61657,0.68048,0.42969,1.27651,1.32206,2.37997,0.0009001,0.0009001,0.0009001
47,22009.9,1.39431,1.566,2.5159,0.69978,0.6177,0.68051,0.42978,1.2762,1.32136,2.37949,0.00089788,0.00089788,0.00089788
48,22440.1,1.39598,1.54987,2.52458,0.69854,0.61778,0.68088,0.43004,1.27624,1.32123,2.37952,0.00089566,0.00089566,0.00089566
49,22869.3,1.39697,1.55909,2.52232,0.69887,0.61765,0.68101,0.43044,1.27594,1.32043,2.37916,0.00089344,0.00089344,0.00089344
50,23297.8,1.39356,1.55925,2.52074,0.69988,0.61887,0.68143,0.43073,1.27605,1.31819,2.37922,0.00089122,0.00089122,0.00089122
51,23726.8,1.39062,1.55411,2.51658,0.70024,0.61933,0.68149,0.43091,1.27594,1.31781,2.37885,0.000889,0.000889,0.000889
52,24155.7,1.38865,1.54103,2.52108,0.70446,0.61645,0.68143,0.43152,1.27597,1.31649,2.37816,0.00088678,0.00088678,0.00088678
53,24585,1.38641,1.54455,2.52243,0.7063,0.61637,0.68184,0.43167,1.27557,1.31572,2.3784,0.00088456,0.00088456,0.00088456
54,25014.4,1.39456,1.54935,2.52599,0.70605,0.61549,0.68156,0.4321,1.27547,1.31506,2.37812,0.00088234,0.00088234,0.00088234
55,25443.2,1.39122,1.55034,2.53374,0.70729,0.61561,0.68196,0.43221,1.27547,1.31365,2.37846,0.00088012,0.00088012,0.00088012
56,25871.6,1.38726,1.54957,2.52405,0.70959,0.61573,0.68216,0.43203,1.27517,1.31271,2.37837,0.0008779,0.0008779,0.0008779
57,26301.5,1.38811,1.54608,2.51171,0.71214,0.61468,0.68241,0.43246,1.27502,1.31086,2.37802,0.00087568,0.00087568,0.00087568
58,26731,1.38486,1.53979,2.50765,0.71132,0.61537,0.68287,0.43243,1.2752,1.31013,2.37849,0.00087346,0.00087346,0.00087346
59,27160.6,1.38984,1.53544,2.51924,0.71144,0.6157,0.68238,0.43258,1.27497,1.30887,2.37867,0.00087124,0.00087124,0.00087124
60,27589.7,1.39054,1.54068,2.51298,0.71271,0.61336,0.68238,0.43256,1.27468,1.30836,2.37842,0.00086902,0.00086902,0.00086902
61,28017.9,1.3849,1.53344,2.51154,0.71403,0.61413,0.68311,0.43279,1.27412,1.30834,2.37785,0.0008668,0.0008668,0.0008668
62,28446.2,1.38556,1.54046,2.51642,0.71256,0.61392,0.68309,0.43297,1.27462,1.30729,2.37775,0.00086458,0.00086458,0.00086458
63,28875.7,1.39154,1.53614,2.50848,0.7078,0.61721,0.68317,0.43276,1.27414,1.30707,2.37775,0.00086236,0.00086236,0.00086236
64,29304.1,1.38746,1.54416,2.51575,0.70658,0.61787,0.68336,0.43268,1.27446,1.30652,2.37752,0.00086014,0.00086014,0.00086014
65,29734.3,1.38601,1.54074,2.5099,0.70522,0.62109,0.684,0.43293,1.27381,1.30611,2.37762,0.00085792,0.00085792,0.00085792
66,30163.6,1.38309,1.53113,2.51279,0.70284,0.62112,0.68401,0.43278,1.27394,1.30655,2.37757,0.0008557,0.0008557,0.0008557
67,30592.9,1.38098,1.52837,2.50944,0.7023,0.62248,0.68397,0.43287,1.274,1.3056,2.37802,0.00085348,0.00085348,0.00085348
68,31022.5,1.39036,1.5368,2.50537,0.70293,0.62349,0.68432,0.43304,1.27419,1.3064,2.37808,0.00085126,0.00085126,0.00085126
69,31451.2,1.38055,1.53716,2.51044,0.70313,0.62269,0.68437,0.43284,1.27372,1.30605,2.37736,0.00084904,0.00084904,0.00084904
70,31880.5,1.38303,1.53213,2.50072,0.70358,0.62306,0.68444,0.43286,1.27385,1.30538,2.37713,0.00084682,0.00084682,0.00084682
71,32308.6,1.38403,1.53755,2.49553,0.70457,0.62157,0.68465,0.43302,1.27326,1.30453,2.37694,0.0008446,0.0008446,0.0008446
72,32737.3,1.37849,1.52921,2.51325,0.7045,0.62291,0.68446,0.4336,1.27298,1.30348,2.37733,0.00084238,0.00084238,0.00084238
73,33166.8,1.3804,1.52527,2.50058,0.7077,0.62081,0.68553,0.43398,1.27272,1.30252,2.3771,0.00084016,0.00084016,0.00084016
74,33595.8,1.38043,1.52171,2.49557,0.70687,0.62028,0.68562,0.43445,1.27219,1.30196,2.37551,0.00083794,0.00083794,0.00083794
75,34024.6,1.38454,1.54359,2.50686,0.70681,0.61986,0.68552,0.43415,1.27179,1.30109,2.37566,0.00083572,0.00083572,0.00083572
