epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.216,2.34929,1.71869,3.21774,2.00553,0.15871,0.17241,0.06614,0.02356,0.15313,0.16526,0.06193,0.02069,2.60415,2.23277,3.99382,2.10116,0.0670179,0.000333152,0.000333152
2,1154.42,2.21687,1.61505,2.84648,1.90267,0.2523,0.20686,0.1402,0.05111,0.24174,0.20111,0.13494,0.04774,2.38525,1.62886,2.80042,1.96881,0.0340167,0.000665275,0.000665275
3,1703.51,2.15916,1.58078,2.70679,1.84345,0.28815,0.25703,0.1811,0.07104,0.2755,0.24763,0.17145,0.06378,2.25041,1.60024,2.65092,1.86008,0.00101427,0.000996187,0.000996187
4,2252.1,2.09704,1.53734,2.61622,1.79652,0.33326,0.27789,0.20732,0.08288,0.31819,0.27135,0.19903,0.07864,2.23861,1.6078,2.57518,1.83856,0.000994551,0.000994551,0.000994551
5,2846.89,2.05672,1.5217,2.54017,1.75906,0.34291,0.28507,0.23143,0.09132,0.3232,0.27337,0.21808,0.08154,2.18282,1.57346,2.42202,1.80795,0.000992735,0.000992735,0.000992735
6,3444.41,2.02255,1.51325,2.46794,1.7329,0.37906,0.30517,0.25979,0.10887,0.36808,0.29536,0.24769,0.09934,2.14236,1.53904,2.43525,1.7329,0.000990918,0.000990918,0.000990918
7,4057.06,2.00785,1.52032,2.43545,1.72047,0.37374,0.32173,0.27483,0.1168,0.35782,0.31763,0.26371,0.10635,2.08839,1.60251,2.35008,1.74476,0.000989102,0.000989102,0.000989102
8,4615.33,1.98868,1.5089,2.4024,1.70577,0.3961,0.32608,0.28893,0.12638,0.38837,0.32011,0.2832,0.11883,2.09729,1.54584,2.26363,1.71929,0.000987285,0.000987285,0.000987285
9,5162.15,1.98467,1.4988,2.3742,1.70158,0.45515,0.34427,0.32745,0.14058,0.43258,0.33169,0.30877,0.12694,2.06083,1.5018,2.17553,1.67667,0.000985469,0.000985469,0.000985469
10,5773.86,1.96845,1.49789,2.34965,1.69324,0.43052,0.3556,0.32145,0.14292,0.40952,0.34645,0.30572,0.12706,2.02176,1.50176,2.14877,1.67762,0.000983653,0.000983653,0.000983653
11,6392.34,1.95389,1.49079,2.3119,1.68017,0.4462,0.37111,0.33912,0.15161,0.41364,0.35974,0.31934,0.13706,2.01061,1.50187,2.11672,1.66754,0.000981836,0.000981836,0.000981836
12,6997.94,1.94531,1.49487,2.3094,1.6773,0.46706,0.37094,0.35139,0.16004,0.44883,0.36151,0.33626,0.14558,2.00047,1.49497,2.07467,1.65507,0.00098002,0.00098002,0.00098002
13,7607.04,1.94,1.49663,2.29177,1.67351,0.4656,0.37447,0.35614,0.16273,0.44301,0.36373,0.33776,0.14617,1.9715,1.49466,2.06141,1.64131,0.000978204,0.000978204,0.000978204
14,8211.08,1.93495,1.47745,2.28029,1.66778,0.46744,0.37923,0.36033,0.16606,0.44268,0.36721,0.34256,0.15157,1.95412,1.47644,2.04936,1.63849,0.000976387,0.000976387,0.000976387
15,8810.27,1.92744,1.47814,2.26519,1.66243,0.46248,0.38653,0.36835,0.16911,0.43856,0.37481,0.34984,0.15391,1.95409,1.47857,2.02493,1.63843,0.000974571,0.000974571,0.000974571
16,9436.5,1.91964,1.48091,2.25771,1.6621,0.47527,0.39111,0.37779,0.17441,0.45387,0.37615,0.35873,0.15645,1.94702,1.47594,2.01172,1.62538,0.000972755,0.000972755,0.000972755
17,10057.2,1.91435,1.45623,2.23305,1.6576,0.47626,0.39267,0.38268,0.17816,0.4573,0.37599,0.36413,0.16108,1.9339,1.45999,1.99347,1.61174,0.000970938,0.000970938,0.000970938
18,10631.4,1.91687,1.47579,2.22529,1.65292,0.49504,0.40223,0.39172,0.18332,0.47649,0.38937,0.3757,0.16577,1.93226,1.45958,1.98372,1.60844,0.000969122,0.000969122,0.000969122
19,11237.8,1.90973,1.45941,2.22189,1.65318,0.49601,0.40586,0.39727,0.18686,0.47442,0.38765,0.37813,0.16878,1.9115,1.45952,1.97317,1.6031,0.000967305,0.000967305,0.000967305
20,11902.6,1.90369,1.45031,2.20944,1.64665,0.49741,0.40688,0.40014,0.19123,0.48051,0.39147,0.38128,0.17168,1.90831,1.45158,1.95144,1.59667,0.000965489,0.000965489,0.000965489
21,12557.9,1.89919,1.46449,2.19158,1.64212,0.50007,0.40781,0.40516,0.19352,0.47506,0.39432,0.38702,0.17407,1.90058,1.4487,1.93454,1.58758,0.000963673,0.000963673,0.000963673
22,13186,1.8978,1.46265,2.18412,1.63709,0.51079,0.4112,0.41221,0.19585,0.48564,0.39757,0.39247,0.17532,1.89911,1.44791,1.92824,1.58491,0.000961856,0.000961856,0.000961856
23,13794.4,1.888,1.46146,2.17499,1.63462,0.50927,0.41006,0.41237,0.19753,0.48812,0.3954,0.39385,0.17782,1.88921,1.44568,1.92722,1.58123,0.00096004,0.00096004,0.00096004
24,14416.3,1.8939,1.46962,2.18194,1.63788,0.50985,0.41352,0.41704,0.20069,0.48768,0.4005,0.39804,0.17993,1.88218,1.4444,1.91115,1.57801,0.000958224,0.000958224,0.000958224
25,14977.4,1.88404,1.45582,2.15645,1.62299,0.51332,0.41488,0.41967,0.20137,0.49155,0.40252,0.39992,0.18099,1.87919,1.44346,1.90104,1.5749,0.000956407,0.000956407,0.000956407
26,15622,1.87967,1.45324,2.15761,1.62327,0.51831,0.41621,0.41921,0.2025,0.4967,0.40467,0.4004,0.18113,1.87594,1.44233,1.90057,1.56762,0.000954591,0.000954591,0.000954591
27,16253.1,1.88127,1.45918,2.14943,1.6218,0.52643,0.41544,0.42369,0.20432,0.49967,0.4028,0.40237,0.18241,1.87627,1.44337,1.88821,1.5683,0.000952775,0.000952775,0.000952775
28,16796.5,1.87106,1.43527,2.1506,1.62553,0.52366,0.4211,0.42721,0.20641,0.50271,0.40689,0.40778,0.18376,1.87179,1.43888,1.88348,1.56832,0.000950958,0.000950958,0.000950958
29,17336.3,1.87375,1.44794,2.14468,1.62201,0.52589,0.42177,0.42832,0.20701,0.50559,0.40785,0.40738,0.18457,1.86753,1.43861,1.88306,1.56668,0.000949142,0.000949142,0.000949142
30,17878.2,1.87269,1.43499,2.13441,1.62069,0.52927,0.42197,0.42951,0.2077,0.50815,0.40759,0.40918,0.18488,1.8643,1.43729,1.88021,1.56326,0.000947325,0.000947325,0.000947325
31,18419.6,1.86617,1.45492,2.13415,1.61943,0.53445,0.42187,0.43112,0.20862,0.50833,0.40797,0.41125,0.18647,1.85826,1.43379,1.87742,1.55853,0.000945509,0.000945509,0.000945509
32,18960.6,1.86711,1.44764,2.1229,1.61994,0.52595,0.42634,0.43236,0.20963,0.50565,0.41225,0.41228,0.18755,1.85467,1.43322,1.87442,1.55791,0.000943693,0.000943693,0.000943693
33,19500.9,1.86536,1.4339,2.12016,1.61592,0.52682,0.4264,0.43307,0.21009,0.50588,0.412,0.41336,0.18787,1.85348,1.43207,1.87041,1.55685,0.000941876,0.000941876,0.000941876
34,20040.1,1.86325,1.4471,2.10035,1.60889,0.52806,0.42695,0.43541,0.21132,0.50625,0.41192,0.41436,0.18819,1.85144,1.43114,1.86805,1.55514,0.00094006,0.00094006,0.00094006
35,20581,1.86362,1.44236,2.10934,1.60729,0.52892,0.42843,0.43555,0.2119,0.50737,0.41343,0.41524,0.18901,1.84856,1.43176,1.86653,1.55288,0.000938244,0.000938244,0.000938244
36,21118.8,1.85791,1.44221,2.11019,1.61063,0.52887,0.43129,0.43715,0.21263,0.50284,0.41547,0.41617,0.18983,1.84731,1.43127,1.863,1.55132,0.000936427,0.000936427,0.000936427
37,21658.6,1.85863,1.43444,2.1007,1.60889,0.52982,0.43197,0.43778,0.21318,0.50654,0.41559,0.41722,0.19062,1.84593,1.42971,1.86122,1.55003,0.000934611,0.000934611,0.000934611
38,22201.3,1.85615,1.44696,2.10485,1.60787,0.53055,0.43049,0.43861,0.21378,0.50629,0.41374,0.41723,0.19099,1.8462,1.42836,1.8616,1.55035,0.000932795,0.000932795,0.000932795
39,22757,1.85366,1.44327,2.08695,1.60022,0.52735,0.43322,0.43849,0.21406,0.51075,0.41291,0.41757,0.19177,1.84431,1.42751,1.86018,1.54958,0.000930978,0.000930978,0.000930978
40,23296.6,1.85025,1.44476,2.092,1.60497,0.52831,0.4334,0.4393,0.21464,0.5116,0.4126,0.41773,0.19238,1.84433,1.4264,1.85778,1.54914,0.000929162,0.000929162,0.000929162
41,23839.7,1.8537,1.44272,2.09058,1.60459,0.52961,0.43169,0.43971,0.21496,0.50705,0.41595,0.41922,0.19295,1.84276,1.42604,1.85724,1.5485,0.000927345,0.000927345,0.000927345
42,24426.6,1.85304,1.42977,2.08981,1.60169,0.53308,0.43118,0.44074,0.21526,0.50993,0.41533,0.41973,0.19322,1.84119,1.42556,1.85588,1.54779,0.000925529,0.000925529,0.000925529
43,25026.5,1.84476,1.44491,2.07166,1.59295,0.53404,0.43117,0.44121,0.21604,0.51058,0.41517,0.42034,0.19344,1.8399,1.42537,1.85546,1.54705,0.000923713,0.000923713,0.000923713
44,25630.8,1.84606,1.43611,2.07732,1.60163,0.53725,0.42961,0.44161,0.21636,0.51325,0.41335,0.42037,0.19337,1.83957,1.42456,1.85509,1.54691,0.000921896,0.000921896,0.000921896
45,26228.2,1.84256,1.42228,2.06252,1.5951,0.53593,0.42999,0.44211,0.21709,0.5125,0.41392,0.42101,0.19374,1.83877,1.42472,1.85394,1.54683,0.00092008,0.00092008,0.00092008
46,26766.4,1.84769,1.4284,2.06777,1.59287,0.53895,0.43001,0.44267,0.21733,0.51245,0.4147,0.4216,0.19411,1.8372,1.4241,1.85252,1.54668,0.000918264,0.000918264,0.000918264
47,27306.9,1.84271,1.44147,2.0654,1.59048,0.53612,0.4319,0.44323,0.21801,0.51311,0.4161,0.42196,0.19446,1.83574,1.42354,1.85165,1.54621,0.000916447,0.000916447,0.000916447
